merchant_id,transaction_count,last_transaction_date,churn_status
5PMQQPIX,1,12/31/2024,Churn Risk
ROOTJJSI,1,12/4/2024,Churn Risk
0K9CY5HW,1,2/6/2025,Churn Risk
KTE7EIWZ,1,10/12/2024,Churn Risk
58GW0JVP,1,1/28/2025,Churn Risk
X8LXVSK3,1,11/21/2024,Churn Risk
0FILQNW2,1,10/29/2024,Churn Risk
WSM4B95I,1,10/23/2024,Churn Risk
YIFN73SF,1,11/5/2024,Churn Risk
YW11SIG0,1,7/7/2024,Churn Risk
GNAMMBPT,1,2/17/2025,Churn Risk
TSDDVSTJ,1,1/31/2025,Churn Risk
DDPCA8O8,1,11/25/2024,Churn Risk
H2GSMI5F,1,12/26/2024,Churn Risk
3PPSCEHT,1,3/21/2024,Churn Risk
XMGFC8D0,1,5/17/2024,Churn Risk
5Q774NDP,1,12/17/2024,Churn Risk
WQASE0VN,1,9/22/2024,Churn Risk
UD5GZ1TV,1,11/2/2024,Churn Risk
WJ2I22Y9,1,3/25/2024,Churn Risk
2BDU6A6J,1,1/16/2025,Churn Risk
XHD43FH2,1,12/11/2024,Churn Risk
M1S992JS,1,1/9/2025,Churn Risk
YTR4THQB,1,2/19/2025,Churn Risk
5UOTU7TM,1,11/13/2024,Churn Risk
D53Z1IOK,1,11/24/2024,Churn Risk
VJRNY8IR,1,2/8/2025,Churn Risk
KMNHFXAT,1,1/31/2025,Churn Risk
BCH1BFOV,1,1/1/2025,Churn Risk
K0DWBXML,1,11/1/2024,Churn Risk
FAUV7RVK,1,7/28/2024,Churn Risk
O6XZX1RB,1,1/9/2025,Churn Risk
9CPG2WNL,1,12/12/2024,Churn Risk
IQP27PON,1,8/11/2024,Churn Risk
TWAVLFX8,1,12/22/2024,Churn Risk
PRU56EJJ,1,11/28/2024,Churn Risk
JA94BMV0,1,1/10/2025,Churn Risk
3SIXLDX5,1,1/16/2025,Churn Risk
Q4FOWAF8,1,1/21/2025,Churn Risk
IFTV5E2Y,1,9/30/2024,Churn Risk
0EUXPMJC,1,9/13/2024,Churn Risk
V8QLHUE0,1,2/10/2025,Churn Risk
PBM40FEZ,1,11/29/2024,Churn Risk
6LGK8N0Y,1,1/10/2025,Churn Risk
TPLS9X6P,1,7/29/2024,Churn Risk
U49EV456,1,1/25/2025,Churn Risk
48EUTGVU,1,2/20/2025,Churn Risk
XXJBJ44C,1,1/15/2025,Churn Risk
0BZ7GBL6,1,9/11/2024,Churn Risk
F5UIM185,1,12/14/2024,Churn Risk
D6SPK2ML,1,7/18/2024,Churn Risk
ZVK0FTNE,1,10/6/2024,Churn Risk
Z5FY6K4S,1,6/19/2024,Churn Risk
DFVDRFH2,1,11/15/2024,Churn Risk
N25L14HM,1,1/11/2025,Churn Risk
EXHCJBGR,1,1/23/2025,Churn Risk
MHRZI796,1,1/28/2025,Churn Risk
VFWOH283,1,1/22/2025,Churn Risk
ND7OGXGY,1,11/11/2024,Churn Risk
R5KX7P0X,1,6/24/2024,Churn Risk
E24HNU7O,1,8/10/2024,Churn Risk
YVCZL09F,1,12/27/2024,Churn Risk
DRLUC9XY,1,12/17/2024,Churn Risk
X5IV5G9W,1,11/12/2024,Churn Risk
XBHZOOFM,1,4/15/2024,Churn Risk
I005PW5F,2,12/20/2024,Churn Risk
1ODFCWGC,1,10/23/2024,Churn Risk
35WGFD43,1,11/14/2024,Churn Risk
RPXRCE8V,1,5/29/2024,Churn Risk
JIU9ZLVC,1,11/19/2024,Churn Risk
6SXQ7MJL,1,2/19/2025,Churn Risk
R7EVN1JZ,1,1/17/2025,Churn Risk
2DL6P7NK,1,9/16/2024,Churn Risk
CH0X5ILT,1,7/9/2024,Churn Risk
4KIC3FRY,1,11/9/2024,Churn Risk
WN8SFL7S,1,5/30/2024,Churn Risk
6WH9ECTE,1,10/5/2024,Churn Risk
D0NWL4BQ,1,10/31/2024,Churn Risk
EL1CXG0B,1,1/12/2025,Churn Risk
FMLZCQAB,2,2/15/2025,Churn Risk
K8JKUU12,2,12/8/2024,Churn Risk
KHHUA2IC,1,5/3/2024,Churn Risk
LDCKC21O,1,12/28/2024,Churn Risk
J4UNX6JV,1,2/1/2025,Churn Risk
ANG1H8NJ,1,7/3/2024,Churn Risk
D311016N,1,12/11/2024,Churn Risk
D79NTK59,1,10/16/2024,Churn Risk
ZUYLY4WY,1,1/26/2025,Churn Risk
DI42SJU3,1,1/21/2025,Churn Risk
YIP74OID,1,6/24/2024,Churn Risk
E1FFAYJL,1,11/1/2024,Churn Risk
ZO87JQ2E,1,12/15/2024,Churn Risk
E5H500IC,1,12/2/2024,Churn Risk
IKG32I1K,1,12/8/2024,Churn Risk
BEK005N0,1,2/2/2025,Churn Risk
HRXM4GHD,1,1/17/2025,Churn Risk
N52P7HVO,1,2/6/2025,Churn Risk
CKKQY65D,1,7/9/2024,Churn Risk
KXHC42P8,1,1/14/2025,Churn Risk
YYXXWLO4,1,1/27/2025,Churn Risk
45ZJWXAD,1,11/8/2024,Churn Risk
IISKM0AS,1,12/31/2024,Churn Risk
T9N0GEHD,1,2/2/2025,Churn Risk
IRTCF3TS,1,2/5/2025,Churn Risk
40QLFR15,1,1/14/2025,Churn Risk
KEHOM266,1,12/9/2024,Churn Risk
I51I695B,1,2/13/2025,Churn Risk
USOE9KS6,1,12/25/2024,Churn Risk
F5IVQN8J,1,11/4/2024,Churn Risk
W89B9I8P,1,8/27/2024,Churn Risk
091SRD89,1,7/14/2024,Churn Risk
JVM6LQKW,1,12/16/2024,Churn Risk
SF35VW0C,1,2/1/2025,Churn Risk
IAJT02QV,1,8/31/2024,Churn Risk
95WVRMQB,1,11/29/2024,Churn Risk
XHGVZU4L,3,2/19/2025,Active
UM4XKTU9,1,8/25/2024,Churn Risk
1S3D2LT8,1,7/18/2024,Churn Risk
D0OJCDVS,1,2/18/2025,Churn Risk
LSOEEZHV,1,9/26/2024,Churn Risk
MANH0QMV,1,11/24/2024,Churn Risk
HA0RYFQB,1,6/26/2024,Churn Risk
0TDQ5YWW,1,1/31/2025,Churn Risk
NRFAWITB,1,1/30/2025,Churn Risk
V80R1ORZ,2,2/8/2025,Churn Risk
35H2LJOX,1,12/29/2024,Churn Risk
PQH1AZUI,1,9/3/2024,Churn Risk
KPR08QFF,1,6/13/2024,Churn Risk
XZJU6M4L,32,2/20/2025,Active
7F7SGD2Q,1,1/31/2025,Churn Risk
RYDWZZRA,1,2/15/2025,Churn Risk
51SH52EZ,1,7/10/2024,Churn Risk
ELUTA8OJ,1,2/2/2025,Churn Risk
26HBK23W,1,12/20/2024,Churn Risk
9FIFU87V,1,11/6/2024,Churn Risk
PVQU3OTM,1,1/27/2025,Churn Risk
KFX9PCF6,1,2/13/2025,Churn Risk
8U1W3I49,1,1/23/2025,Churn Risk
7D5AYJH0,31,2/20/2025,Active
MOKSWBBO,1,12/4/2024,Churn Risk
X3LK0H4D,1,5/21/2024,Churn Risk
DG1W3BO8,1,2/14/2025,Churn Risk
KLMHU2KP,1,12/20/2024,Churn Risk
MGPDK2M7,1,1/14/2025,Churn Risk
AH1T05SF,1,8/18/2024,Churn Risk
IJX9B75I,1,7/23/2024,Churn Risk
K18TQ2ME,2,1/27/2025,Churn Risk
TB3RB51K,1,10/17/2024,Churn Risk
XNFEGEV3,1,8/26/2024,Churn Risk
02Z2Q18R,1,6/11/2024,Churn Risk
Z473FYFT,1,11/8/2024,Churn Risk
YID8LKK2,1,12/24/2024,Churn Risk
45O6QVJ9,1,12/12/2024,Churn Risk
5R0JZM9Q,1,3/14/2024,Churn Risk
05YQBIPD,1,2/15/2025,Churn Risk
URWKAOOP,1,11/14/2024,Churn Risk
7SMLXZWC,1,1/11/2025,Churn Risk
YTTDS3KP,1,1/6/2025,Churn Risk
ES9537J0,1,2/17/2025,Churn Risk
OBDY84LG,1,10/27/2024,Churn Risk
SJ4QYJB0,1,12/10/2024,Churn Risk
6FVU8MS5,1,12/6/2024,Churn Risk
8Y0U3I65,1,2/6/2025,Churn Risk
E1BNUGOA,1,1/17/2025,Churn Risk
5SCOLQQF,1,1/17/2024,Churn Risk
MCJJX1EQ,1,1/5/2025,Churn Risk
05GISY1I,1,9/7/2024,Churn Risk
31NV6WIO,1,10/29/2024,Churn Risk
P8LK0S6D,1,1/25/2025,Churn Risk
G4GM6U2K,1,12/17/2024,Churn Risk
OGXCSXOD,1,12/23/2024,Churn Risk
3BJEH72N,1,10/21/2024,Churn Risk
TW1U3SH4,1,11/6/2024,Churn Risk
BLP3PO1Z,1,1/13/2025,Churn Risk
YKG9QKCP,1,10/23/2024,Churn Risk
M1F4PRNX,1,12/3/2024,Churn Risk
O2CYFDMV,1,9/7/2024,Churn Risk
J0OKK6J9,1,7/19/2024,Churn Risk
9P38Q1IH,1,12/23/2024,Churn Risk
8UDOXHN9,1,2/17/2025,Churn Risk
B9FN9E57,1,9/9/2024,Churn Risk
S6Q6P59B,1,12/1/2024,Churn Risk
ZN07N9CA,1,1/21/2025,Churn Risk
ERDMS680,1,8/9/2024,Churn Risk
CADUNF7S,1,12/16/2024,Churn Risk
X13ZGUNH,1,1/3/2025,Churn Risk
C18SFR9W,1,1/23/2025,Churn Risk
PWQOUWZT,1,12/13/2024,Churn Risk
RTQWVXOU,1,9/24/2024,Churn Risk
GNQLFSIM,1,2/20/2025,Churn Risk
YM56PECS,1,10/24/2024,Churn Risk
3CPUKZH3,1,10/13/2024,Churn Risk
H0W18TD9,1,5/13/2024,Churn Risk
6MM2KZ06,1,12/26/2024,Churn Risk
UVDM2E1S,1,2/19/2025,Churn Risk
2MV0NCCO,1,9/6/2024,Churn Risk
2H2BJ6MY,1,2/19/2025,Churn Risk
3VD55MPQ,1,4/30/2024,Churn Risk
3ECG1D4R,1,8/4/2024,Churn Risk
KQOXFVM6,1,1/27/2025,Churn Risk
1P3ZONOV,1,11/22/2024,Churn Risk
WCBSN7C8,1,7/6/2024,Churn Risk
TAPTA413,1,1/25/2025,Churn Risk
AM8DNEB3,1,2/15/2025,Churn Risk
9JMP3NVQ,1,1/30/2025,Churn Risk
GXERNY9C,1,10/7/2024,Churn Risk
GX31YDZ6,1,11/14/2024,Churn Risk
DXSB3NAS,1,1/24/2025,Churn Risk
IATUGW5D,1,12/12/2024,Churn Risk
S75MJ4WS,1,1/17/2025,Churn Risk
AO1EJWN9,1,5/18/2024,Churn Risk
2951STUF,1,10/19/2024,Churn Risk
NKEUGYW2,1,2/13/2025,Churn Risk
C56V0LY2,1,10/7/2024,Churn Risk
BY7CNK0S,1,2/6/2025,Churn Risk
OY57GXMR,1,2/10/2025,Churn Risk
2K6MVL1R,1,12/22/2024,Churn Risk
DC5USGGR,1,10/22/2024,Churn Risk
HYDKXX21,1,12/12/2024,Churn Risk
TAHLOETS,1,7/4/2024,Churn Risk
G4MW990U,1,7/9/2024,Churn Risk
TLRG02KQ,1,2/1/2025,Churn Risk
Y15OBLQN,1,9/23/2024,Churn Risk
VUBPNFR4,1,5/23/2024,Churn Risk
PLFZKQF9,1,12/6/2024,Churn Risk
7AQT750N,1,1/9/2025,Churn Risk
K9X4578N,1,11/2/2024,Churn Risk
GD3F120A,1,2/3/2025,Churn Risk
R8JY8WWM,1,2/2/2025,Churn Risk
VTZSOQTJ,1,10/7/2024,Churn Risk
PYVMTU16,1,12/1/2024,Churn Risk
HGR1IL1G,1,9/23/2024,Churn Risk
EQEUTP13,1,11/28/2024,Churn Risk
MK2OTIF8,1,10/28/2024,Churn Risk
2M1WPA4U,1,9/6/2024,Churn Risk
10IGPZYM,1,9/21/2024,Churn Risk
5CVIR55V,1,7/8/2024,Churn Risk
S97DV644,1,12/20/2024,Churn Risk
7PL0SCM8,1,12/28/2024,Churn Risk
3HIBZS78,1,11/21/2024,Churn Risk
SY31E47B,1,2/13/2025,Churn Risk
BVD2KPGZ,1,11/8/2024,Churn Risk
V4AGEM70,1,9/1/2024,Churn Risk
BSYVF2DB,1,9/20/2024,Churn Risk
RJ53OA4U,1,2/17/2025,Churn Risk
J9SU341Y,1,2/5/2025,Churn Risk
PU4GXNHK,1,12/27/2024,Churn Risk
ZVHF2JKL,1,1/8/2025,Churn Risk
CDG59K58,1,9/21/2024,Churn Risk
CYHZRC97,1,2/7/2025,Churn Risk
EVUC1ARV,1,2/15/2025,Churn Risk
X044IDS9,1,10/26/2024,Churn Risk
XC8CGTDK,1,1/18/2025,Churn Risk
1ZX4MQ4B,1,10/25/2024,Churn Risk
7XEQMTSN,1,12/4/2024,Churn Risk
8TBVS14E,1,2/7/2025,Churn Risk
BR2R3DRV,1,7/9/2024,Churn Risk
DC9I4N53,1,12/7/2024,Churn Risk
B3VVDVL7,1,7/16/2024,Churn Risk
8S1IQR7D,1,2/27/2024,Churn Risk
AFQH74B7,1,1/30/2025,Churn Risk
WTXWIOVX,15,2/20/2025,Active
W7PG5DUF,1,11/9/2024,Churn Risk
PAQFNBKN,1,11/3/2024,Churn Risk
ZX43DN6D,1,6/18/2024,Churn Risk
2NPFZ4BY,1,1/7/2025,Churn Risk
BXSH1IPR,1,2/19/2025,Churn Risk
UL2E0A0L,1,12/21/2024,Churn Risk
P1UZK42T,1,7/10/2024,Churn Risk
QV35VFP7,1,2/4/2025,Churn Risk
CHIAA02Q,1,6/27/2024,Churn Risk
33A0EEJY,1,12/18/2024,Churn Risk
X5NQX6GS,1,12/15/2024,Churn Risk
KXJVVEMO,1,11/21/2024,Churn Risk
5TFJ225P,1,12/17/2024,Churn Risk
TLYV226Q,1,9/4/2024,Churn Risk
WPMG9GRQ,1,1/3/2025,Churn Risk
XW1E4UZ2,1,12/11/2024,Churn Risk
Z72LQ8KB,1,12/18/2024,Churn Risk
1M4SF81T,1,3/10/2024,Churn Risk
1DVT2SWT,1,11/20/2024,Churn Risk
I8CT6WIA,1,1/11/2025,Churn Risk
5R7ARPMF,1,1/7/2025,Churn Risk
L3A0IZFC,1,1/8/2025,Churn Risk
OMJVFRBB,1,11/22/2024,Churn Risk
HD94CVU9,1,5/31/2024,Churn Risk
058Z0D6J,1,2/16/2025,Churn Risk
BOQ1QD0K,1,5/10/2024,Churn Risk
FM2RMBN0,1,8/27/2024,Churn Risk
YU3UDFLJ,1,12/27/2024,Churn Risk
XWWQ2IZ3,1,11/16/2024,Churn Risk
C6QYPXYZ,1,12/23/2024,Churn Risk
2XH52LWQ,1,2/16/2025,Churn Risk
8RDLLAQ4,1,8/5/2024,Churn Risk
ZA91EGPR,1,10/16/2024,Churn Risk
OMWM6XG4,1,2/6/2025,Churn Risk
859P9H3S,1,9/10/2024,Churn Risk
EXV5YB1G,1,7/22/2024,Churn Risk
EX3OQQ7R,1,8/30/2024,Churn Risk
ZBZ7NNVD,1,2/10/2025,Churn Risk
63X53SNJ,1,11/30/2024,Churn Risk
7OC9VBTP,1,1/16/2025,Churn Risk
5GNTAK6T,1,2/2/2025,Churn Risk
9K0TANZA,1,2/19/2025,Churn Risk
GKSB0JGL,1,12/27/2024,Churn Risk
2TD35UQS,1,7/26/2024,Churn Risk
E49D9V7D,1,1/16/2025,Churn Risk
WQFOX8NO,1,2/23/2024,Churn Risk
1T4OIG5E,1,12/11/2024,Churn Risk
2FSCIEH1,1,1/28/2025,Churn Risk
QDHVY3MA,1,3/15/2024,Churn Risk
12Z5XE57,1,1/27/2025,Churn Risk
XVAY7FX7,1,2/14/2025,Churn Risk
3QGY45RI,1,7/16/2024,Churn Risk
Q1EB5WWU,1,8/31/2024,Churn Risk
2MWBB00C,1,1/18/2025,Churn Risk
PKQLYZ96,1,12/29/2024,Churn Risk
5S94O4NB,1,2/20/2025,Churn Risk
N0TTVXRX,1,12/2/2024,Churn Risk
DMMOIP2U,1,8/17/2024,Churn Risk
0HVJRIG2,1,1/31/2025,Churn Risk
5CMMJ6RB,1,2/2/2025,Churn Risk
NJA9I33Q,1,11/28/2024,Churn Risk
ZOJPC9I4,1,1/21/2025,Churn Risk
ED3OQDEM,1,4/25/2024,Churn Risk
IMSCNLS5,1,1/15/2024,Churn Risk
EEXWL1FB,1,11/24/2024,Churn Risk
PLYD2PLB,1,7/18/2024,Churn Risk
VY6JKQEI,1,11/18/2024,Churn Risk
S4TPJBE6,1,12/16/2024,Churn Risk
8FGCLE72,1,11/6/2024,Churn Risk
EYMGG2S6,1,10/18/2024,Churn Risk
B1NSNSTR,1,2/5/2025,Churn Risk
V2PGAUEM,1,12/7/2024,Churn Risk
XYDNT79R,1,12/13/2024,Churn Risk
P0WC1EV9,1,6/14/2024,Churn Risk
A8YUYHF7,1,12/1/2024,Churn Risk
9NFO3O3B,1,12/12/2024,Churn Risk
FS1CGIHL,1,2/6/2025,Churn Risk
0ZACAATU,1,11/30/2024,Churn Risk
5ZO8SS6P,1,1/14/2025,Churn Risk
ITUZAK8H,1,9/11/2024,Churn Risk
768LQ55T,1,1/4/2025,Churn Risk
D5HHCQCK,1,11/2/2024,Churn Risk
E26S9JEN,1,9/30/2024,Churn Risk
O29PSTJ7,1,9/9/2024,Churn Risk
EY7WAQH1,1,1/12/2025,Churn Risk
9V7HY9KL,1,1/8/2024,Churn Risk
905LC10S,1,6/22/2024,Churn Risk
3Q4ZW63N,1,10/18/2024,Churn Risk
4UQGENGS,1,1/23/2025,Churn Risk
AP6124Q8,1,9/18/2024,Churn Risk
S34JUD1C,1,12/12/2024,Churn Risk
XYNHLZXE,1,12/14/2024,Churn Risk
LQWY3AGC,1,12/10/2024,Churn Risk
GLVUN1SA,1,2/19/2025,Churn Risk
RLG92EVA,1,12/2/2024,Churn Risk
GZRW6VO4,1,11/2/2024,Churn Risk
MP4X94TG,1,9/26/2024,Churn Risk
8P4B9RAS,1,12/7/2024,Churn Risk
PPZO2XYJ,1,6/26/2024,Churn Risk
DIN4SZ2M,1,12/5/2024,Churn Risk
HQ6LJABU,1,12/8/2024,Churn Risk
OOKIR17T,1,8/2/2024,Churn Risk
Z0KTE9SO,1,10/6/2024,Churn Risk
CFRH7B3N,1,3/8/2024,Churn Risk
MIFPZWCW,1,8/3/2024,Churn Risk
OTHDTJY7,1,1/8/2025,Churn Risk
M5M69T8T,1,5/11/2024,Churn Risk
WW4HYHKU,1,1/10/2025,Churn Risk
DJSF3S92,1,8/28/2024,Churn Risk
MWU9AXJA,1,2/12/2025,Churn Risk
FWPBU3UU,1,12/24/2024,Churn Risk
H47CJXG9,1,12/28/2024,Churn Risk
CL5SH672,1,10/23/2024,Churn Risk
BOWML7OW,1,2/18/2025,Churn Risk
1M799IZQ,1,11/11/2024,Churn Risk
6TGPXBXK,1,9/19/2024,Churn Risk
YMPNX7BR,1,11/29/2024,Churn Risk
4F99HO33,1,10/16/2024,Churn Risk
0SJUR9PF,1,10/31/2024,Churn Risk
8DQ18J0T,1,1/27/2025,Churn Risk
BFGHQWDB,1,8/3/2024,Churn Risk
Q27RTPSW,1,9/9/2024,Churn Risk
5AFOWBV7,1,1/4/2025,Churn Risk
EZNBKGTD,1,12/15/2024,Churn Risk
P5XOL1S9,1,9/19/2024,Churn Risk
LCB6E5G1,1,5/20/2024,Churn Risk
UJW4C7Z5,1,1/31/2024,Churn Risk
5P26H945,1,7/30/2024,Churn Risk
2DIJ2O9Z,1,1/10/2025,Churn Risk
N6HYEOKE,1,1/22/2025,Churn Risk
D3AAJP95,1,12/11/2024,Churn Risk
P5VUI6DK,1,1/21/2025,Churn Risk
BLDD0PB2,1,2/14/2025,Churn Risk
B8LPG00N,1,7/6/2024,Churn Risk
OSA3ILA2,1,10/20/2024,Churn Risk
QH562JBB,1,2/1/2025,Churn Risk
BNFYO0DI,1,11/12/2024,Churn Risk
CYQ9GKLY,1,8/11/2024,Churn Risk
5VBWY1VB,1,12/27/2024,Churn Risk
ND4F0GXC,1,1/4/2025,Churn Risk
TLYM6HRA,1,10/26/2024,Churn Risk
M3PS81PG,1,10/9/2024,Churn Risk
9PD50DW4,1,5/31/2024,Churn Risk
3M8YD1NT,91,2/20/2025,Active
RRTQ3AQV,1,1/10/2025,Churn Risk
9QRX1ZN8,1,7/28/2024,Churn Risk
BVQ6FZ9Q,2,11/27/2024,Churn Risk
WZFX3A2E,1,2/17/2025,Churn Risk
VDYHYNJD,1,12/4/2024,Churn Risk
9I4TW4H9,1,2/14/2025,Churn Risk
OK3WYRHG,1,1/11/2025,Churn Risk
JKKPPJXC,1,1/8/2025,Churn Risk
JT51RMFS,1,10/16/2024,Churn Risk
26SW0G7B,1,1/20/2025,Churn Risk
HXHH9RL8,1,11/5/2024,Churn Risk
WJGZG31C,1,2/8/2025,Churn Risk
Z3YL2PDT,1,2/5/2025,Churn Risk
18AI5EGI,1,12/3/2024,Churn Risk
M3CQF2IR,1,2/4/2025,Churn Risk
1OCWA37L,1,11/24/2024,Churn Risk
BVVEILBA,1,11/19/2024,Churn Risk
1KYEPL39,1,12/3/2024,Churn Risk
MMW1BZ9M,1,12/21/2024,Churn Risk
T53G5U2R,1,2/11/2025,Churn Risk
AZCHUJ1N,1,1/13/2025,Churn Risk
UCU3AF9P,1,8/15/2024,Churn Risk
NUSYD65X,1,12/12/2024,Churn Risk
6BGYNEJ4,1,5/29/2024,Churn Risk
LO5GYLPD,1,2/12/2025,Churn Risk
TVEOH6KZ,1,12/2/2024,Churn Risk
NO55YODC,1,11/19/2024,Churn Risk
2EUYS2JT,1,1/3/2025,Churn Risk
QP4Y5BFI,1,8/18/2024,Churn Risk
LZP34ECP,1,9/20/2024,Churn Risk
TLBULFVU,1,6/21/2024,Churn Risk
8QZ0Y1FN,1,1/29/2025,Churn Risk
3GHYWRWB,1,1/22/2025,Churn Risk
A1F1MPQ2,1,4/20/2024,Churn Risk
GVK939UM,1,5/8/2024,Churn Risk
944IZ5Z2,1,1/16/2025,Churn Risk
3IQYUVNV,1,2/7/2025,Churn Risk
IGATXBGP,1,5/17/2024,Churn Risk
94I6462I,100,2/14/2025,Active
V7BUXAOL,1,11/8/2024,Churn Risk
LWUHBWLP,1,12/5/2024,Churn Risk
52DAZH48,1,9/6/2024,Churn Risk
78N17ERM,1,10/2/2024,Churn Risk
HJ8IXQ3U,1,12/29/2024,Churn Risk
98YLUGTC,1,10/22/2024,Churn Risk
52OKP4PA,2,1/6/2025,Churn Risk
FOAW0OBF,1,12/11/2024,Churn Risk
VRMDDRQN,1,8/9/2024,Churn Risk
7C4KG0OU,1,11/27/2024,Churn Risk
FWD8Q3CP,2,1/27/2025,Churn Risk
7KWJFZWM,1,10/17/2024,Churn Risk
IOY1U5NK,1,9/12/2024,Churn Risk
T2BZ4PPN,1,12/14/2024,Churn Risk
ZRGVBTS0,1,1/30/2025,Churn Risk
3FBFY6JB,1,7/5/2024,Churn Risk
2JK57JFL,1,4/24/2024,Churn Risk
ND9YFBJE,1,2/15/2025,Churn Risk
52VX6C9Q,1,11/25/2024,Churn Risk
7K4PD672,1,12/28/2024,Churn Risk
PSWELOJ8,1,2/3/2025,Churn Risk
NED2ZTY6,1,4/24/2024,Churn Risk
IR32JRGD,1,9/3/2024,Churn Risk
JX9DU72C,1,1/28/2025,Churn Risk
6DTJ99I8,1,2/18/2025,Churn Risk
EZ6U5ETJ,1,5/20/2024,Churn Risk
NQIRZVJ2,1,9/26/2024,Churn Risk
A37TUVTX,1,12/14/2024,Churn Risk
J1GZHXTV,1,9/24/2024,Churn Risk
GKXC7UDH,2,2/5/2025,Churn Risk
VR7W1QQ0,1,1/21/2025,Churn Risk
YIYU598Z,1,10/31/2024,Churn Risk
TCMC73UP,1,5/21/2024,Churn Risk
NSHCGVMZ,1,8/23/2024,Churn Risk
XXGOZPBU,1,11/15/2024,Churn Risk
UJASMXH1,1,11/12/2024,Churn Risk
DCB9AZFQ,1,1/6/2025,Churn Risk
Y6IUP6RX,1,10/11/2024,Churn Risk
G7VF4I1J,1,11/14/2024,Churn Risk
NUEI6G1D,1,1/11/2025,Churn Risk
HFEDECXA,1,1/12/2025,Churn Risk
YQBOA57E,1,8/25/2024,Churn Risk
EU90EX52,1,9/30/2024,Churn Risk
GPT0IUOW,1,8/31/2024,Churn Risk
81XDPEVX,1,2/18/2025,Churn Risk
Y0XVNYPB,1,4/23/2024,Churn Risk
4WPJ7KMD,1,7/31/2024,Churn Risk
499E9E72,1,1/31/2024,Churn Risk
PRKJ43IG,1,3/15/2024,Churn Risk
FVK1BW22,1,10/18/2024,Churn Risk
IX97QE5O,1,4/26/2024,Churn Risk
O998EK42,1,8/28/2024,Churn Risk
P5ADQO7J,1,7/22/2024,Churn Risk
2N47W1M9,1,12/30/2024,Churn Risk
6EXU2A12,1,1/19/2025,Churn Risk
X9CMWIGF,1,6/8/2024,Churn Risk
9GAUKN8Z,1,6/23/2024,Churn Risk
1HZOU03S,1,8/2/2024,Churn Risk
